name,slug,manufacturer,price,availability,images
CALADRYL LOTION 120ML,caladryl-lotion-120ml-21950,Caladryl,72.35,True,https://d1ljlatelrv1en.cloudfront.net/Caladryl/resized/small/i01344-front.jpg
CALADRYL LOTION 60ML,caladryl-lotion-60ml-21951,Caladryl,47.88,True,https://d1ljlatelrv1en.cloudfront.net/Caladryl/resized/small/i02133-front.jpg
COLGATE PAIN OUT TUBE - 10GM,colgate-pain-out-tube---10gm-210020,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602881.jpg
COLGATE PLAX FRESH MINT ALCOHOL-FREE MOUTHWASH - 500 ML,colgate-plax-fresh-mint-alcohol-free-mouthwash---500-ml-218452,COLGATE,184.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607724-1-.jpg
COLGATE PLAX FRESH TEA ALCOHOL-FREE MOUTHWASH - 250 ML,colgate-plax-fresh-tea-alcohol-free-mouthwash---250-ml-218459,COLGATE,108.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607707-1-.jpg
COLGATE PLAX PEPPER MINT ALCOHOL-FREE MOUTHWASH - 250 ML,colgate-plax-pepper-mint-alcohol-free-mouthwash---250-ml-218457,COLGATE,108.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607799-1-.jpg
COLGATE PLAX PEPPER MINT ALCOHOL-FREE MOUTHWASH - 500 ML,colgate-plax-pepper-mint-alcohol-free-mouthwash---500-ml-218454,COLGATE,184.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607704-1-.jpg
COLGATE TOOTHBRUSH - 360 FLOSSTIP - 1 PC - MEDIUM BRISTLES,colgate-toothbrush---360-flosstip---1-pc---medium-bristles-191862,COLGATE,90.25,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1621835-1.jpg
COLGATE TOOTHBRUSH - 360 WHOLE MOUTH CLEAN - 1 PC,colgate-toothbrush---360-whole-mouth-clean---1-pc-192238,COLGATE,66.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611824-1.jpg
COLGATE TOOTHBRUSH - SLIM SOFT CHARCOAL - 1 PC - SOFT BRISTLES,colgate-toothbrush---slim-soft-charcoal---1-pc---soft-bristles-191902,COLGATE,71.25,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611634-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH 0-2 YEARS -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-0-2-years--1-pc-extra-soft-192078,COLGATE,28.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611612-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH BARBIE -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-barbie--1-pc-extra-soft-192056,COLGATE,71.10,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611607-1.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-MEDIUM BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-medium-bristles-saver-pack-191905,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12652-front.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-SOFT BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-soft-bristles-saver-pack-192061,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611893-1.jpg
COLGATE TOOTHPASTE - ACTIVE SALT-300 G-SAVER PACK,colgate-toothpaste---active-salt-300-g-saver-pack-191896,COLGATE,125.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1600906-1.jpg
COLGATE TOOTHPASTE - CIBACA - 175 G - ANTI-CAVITY,colgate-toothpaste---cibaca---175-g---anti-cavity-192060,COLGATE,52.25,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12805-front.jpg
COLGATE TOOTHPASTE - KIDS BARBIE - STRAWBERRY FLAVOR - 80 G -CHILDREN,colgate-toothpaste---kids-barbie---strawberry-flavor---80-g--children-192062,COLGATE,77.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602265-1.jpg
2BACONIL - 14MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 2,2baconil---14mg-nicotine-patch-for-quit-smoking-tobacco---step-2-106054,Rusan Healthcare,565.25,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot14.jpg
2BACONIL - 21MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 1,2baconil---21mg-nicotine-patch-for-quit-smoking-tobacco---step-1-23688,Rusan Healthcare,714.00,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot21.jpg
2BACONIL - 7MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 3,2baconil---7mg-nicotine-patch-for-quit-smoking-tobacco---step-3-106053,Rusan Healthcare,505.75,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot7.jpg
CALADRYL LOTION 120ML,caladryl-lotion-120ml-21950,Caladryl,72.35,True,https://d1ljlatelrv1en.cloudfront.net/Caladryl/resized/small/i01344-front.jpg
CALADRYL LOTION 60ML,caladryl-lotion-60ml-21951,Caladryl,47.88,True,https://d1ljlatelrv1en.cloudfront.net/Caladryl/resized/small/i02133-front.jpg
COLGATE PAIN OUT TUBE - 10GM,colgate-pain-out-tube---10gm-210020,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602881.jpg
COLGATE PLAX FRESH MINT ALCOHOL-FREE MOUTHWASH - 500 ML,colgate-plax-fresh-mint-alcohol-free-mouthwash---500-ml-218452,COLGATE,184.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607724-1-.jpg
COLGATE PLAX FRESH TEA ALCOHOL-FREE MOUTHWASH - 250 ML,colgate-plax-fresh-tea-alcohol-free-mouthwash---250-ml-218459,COLGATE,108.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607707-1-.jpg
COLGATE PLAX PEPPER MINT ALCOHOL-FREE MOUTHWASH - 250 ML,colgate-plax-pepper-mint-alcohol-free-mouthwash---250-ml-218457,COLGATE,108.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607799-1-.jpg
COLGATE PLAX PEPPER MINT ALCOHOL-FREE MOUTHWASH - 500 ML,colgate-plax-pepper-mint-alcohol-free-mouthwash---500-ml-218454,COLGATE,184.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607704-1-.jpg
COLGATE TOOTHBRUSH - 360 FLOSSTIP - 1 PC - MEDIUM BRISTLES,colgate-toothbrush---360-flosstip---1-pc---medium-bristles-191862,COLGATE,90.25,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1621835-1.jpg
COLGATE TOOTHBRUSH - 360 WHOLE MOUTH CLEAN - 1 PC,colgate-toothbrush---360-whole-mouth-clean---1-pc-192238,COLGATE,66.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611824-1.jpg
COLGATE TOOTHBRUSH - SLIM SOFT CHARCOAL - 1 PC - SOFT BRISTLES,colgate-toothbrush---slim-soft-charcoal---1-pc---soft-bristles-191902,COLGATE,71.25,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611634-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH 0-2 YEARS -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-0-2-years--1-pc-extra-soft-192078,COLGATE,28.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611612-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH BARBIE -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-barbie--1-pc-extra-soft-192056,COLGATE,71.10,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611607-1.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-MEDIUM BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-medium-bristles-saver-pack-191905,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12652-front.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-SOFT BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-soft-bristles-saver-pack-192061,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611893-1.jpg
COLGATE TOOTHPASTE - ACTIVE SALT-300 G-SAVER PACK,colgate-toothpaste---active-salt-300-g-saver-pack-191896,COLGATE,125.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1600906-1.jpg
COLGATE TOOTHPASTE - CIBACA - 175 G - ANTI-CAVITY,colgate-toothpaste---cibaca---175-g---anti-cavity-192060,COLGATE,52.25,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12805-front.jpg
COLGATE TOOTHPASTE - KIDS BARBIE - STRAWBERRY FLAVOR - 80 G -CHILDREN,colgate-toothpaste---kids-barbie---strawberry-flavor---80-g--children-192062,COLGATE,77.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602265-1.jpg
2BACONIL - 14MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 2,2baconil---14mg-nicotine-patch-for-quit-smoking-tobacco---step-2-106054,Rusan Healthcare,565.25,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot14.jpg
2BACONIL - 21MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 1,2baconil---21mg-nicotine-patch-for-quit-smoking-tobacco---step-1-23688,Rusan Healthcare,714.00,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot21.jpg
2BACONIL - 7MG NICOTINE PATCH FOR QUIT SMOKING/TOBACCO - STEP 3,2baconil---7mg-nicotine-patch-for-quit-smoking-tobacco---step-3-106053,Rusan Healthcare,505.75,True,https://d1ljlatelrv1en.cloudfront.net/Rusan%20Healthcare/resized/small/2baconilpackshot7.jpg
CALADRYL LOTION 120ML,caladryl-lotion-120ml-21950,Caladryl,72.35,True,https://d1ljlatelrv1en.cloudfront.net/Caladryl/resized/small/i01344-front.jpg
CALADRYL LOTION 60ML,caladryl-lotion-60ml-21951,Caladryl,47.88,True,https://d1ljlatelrv1en.cloudfront.net/Caladryl/resized/small/i02133-front.jpg
COLGATE PAIN OUT TUBE - 10GM,colgate-pain-out-tube---10gm-210020,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602881.jpg
COLGATE PLAX FRESH MINT ALCOHOL-FREE MOUTHWASH - 500 ML,colgate-plax-fresh-mint-alcohol-free-mouthwash---500-ml-218452,COLGATE,184.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607724-1-.jpg
COLGATE PLAX FRESH TEA ALCOHOL-FREE MOUTHWASH - 250 ML,colgate-plax-fresh-tea-alcohol-free-mouthwash---250-ml-218459,COLGATE,108.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607707-1-.jpg
COLGATE PLAX PEPPER MINT ALCOHOL-FREE MOUTHWASH - 250 ML,colgate-plax-pepper-mint-alcohol-free-mouthwash---250-ml-218457,COLGATE,108.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607799-1-.jpg
COLGATE PLAX PEPPER MINT ALCOHOL-FREE MOUTHWASH - 500 ML,colgate-plax-pepper-mint-alcohol-free-mouthwash---500-ml-218454,COLGATE,184.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1607704-1-.jpg
COLGATE TOOTHBRUSH - 360 FLOSSTIP - 1 PC - MEDIUM BRISTLES,colgate-toothbrush---360-flosstip---1-pc---medium-bristles-191862,COLGATE,90.25,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1621835-1.jpg
COLGATE TOOTHBRUSH - 360 WHOLE MOUTH CLEAN - 1 PC,colgate-toothbrush---360-whole-mouth-clean---1-pc-192238,COLGATE,66.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611824-1.jpg
COLGATE TOOTHBRUSH - SLIM SOFT CHARCOAL - 1 PC - SOFT BRISTLES,colgate-toothbrush---slim-soft-charcoal---1-pc---soft-bristles-191902,COLGATE,71.25,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611634-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH 0-2 YEARS -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-0-2-years--1-pc-extra-soft-192078,COLGATE,28.50,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611612-1.jpg
COLGATE TOOTHBRUSH-COLGATE KIDS TOOTHBRUSH BARBIE -1 PC-EXTRA SOFT,colgate-toothbrush-colgate-kids-toothbrush-barbie--1-pc-extra-soft-192056,COLGATE,71.10,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611607-1.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-MEDIUM BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-medium-bristles-saver-pack-191905,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12652-front.jpg
COLGATE TOOTHBRUSH-ZIGZAG -BUY 2 GET 1 FREE-SOFT BRISTLES-SAVER PACK,colgate-toothbrush-zigzag--buy-2-get-1-free-soft-bristles-saver-pack-192061,COLGATE,57.00,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1611893-1.jpg
COLGATE TOOTHPASTE - ACTIVE SALT-300 G-SAVER PACK,colgate-toothpaste---active-salt-300-g-saver-pack-191896,COLGATE,125.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1600906-1.jpg
COLGATE TOOTHPASTE - CIBACA - 175 G - ANTI-CAVITY,colgate-toothpaste---cibaca---175-g---anti-cavity-192060,COLGATE,52.25,True,https://d1ljlatelrv1en.cloudfront.net/COLGATE/resized/small/i12805-front.jpg
COLGATE TOOTHPASTE - KIDS BARBIE - STRAWBERRY FLAVOR - 80 G -CHILDREN,colgate-toothpaste---kids-barbie---strawberry-flavor---80-g--children-192062,COLGATE,77.40,True,https://d1ljlatelrv1en.cloudfront.net/Colgate/resized/small/1602265-1.jpg
